condition,case,category,wer,wder,sub,del,ins,ref_words,hyp_words
compute_fp16,RES0012,RES,0.1718377088305489,0.0415224913494809,133,72,155,2095,2178
compute_fp16,RES0021,RES,0.2003179650238473,0.0048622366288492,90,24,138,1258,1372
compute_fp16,RES0025,RES,0.2020423048869438,0.0038051750380517,105,57,115,1371,1429
compute_fp16,RES0030,RES,0.1298482293423271,0.0123022847100175,73,48,33,1186,1171
compute_fp16,RES0047,RES,0.1785503830288745,0.0084801043705153,111,164,28,1697,1561
compute_fp16,RES0051,RES,0.2184615384615384,0.0021052631578947,70,25,118,975,1068
compute_fp16,RES0052,RES,0.2182926829268292,0.0203821656050955,88,35,56,820,841
compute_fp16,RES0053,RES,0.2330198537095089,0.0335106382978723,152,34,260,1914,2140
compute_fp16,RES0059,RES,0.1639344262295081,0.0160673297628156,90,35,95,1342,1402
compute_fp16,RES0062,RES,0.2641898864809081,0.0142180094786729,160,39,313,1938,2212
compute_fp16,RES0071,RES,0.1427469135802469,0.0699135899450117,63,23,99,1296,1372
compute_fp16,RES0074,RES,0.3355209187858901,0.0454170107349298,90,8,311,1219,1522
compute_fp16,RES0083,RES,0.2481977342945417,0.0094936708860759,56,23,162,971,1110
compute_fp16,RES0098,RES,0.138002773925104,0.0322812051649928,65,48,86,1442,1480
compute_fp16,RES0100,RES,0.1445993031358885,0.0411694510739856,96,46,107,1722,1783
compute_fp16,RES0104,RES,0.2332896461336828,0.0632069194943446,94,23,239,1526,1742
compute_fp16,RES0106,RES,0.1861575178997613,0.0817813765182186,94,22,118,1257,1353
compute_fp16,RES0109,RES,0.1995412844036697,0.0911242603550295,65,27,82,872,927
compute_fp16,RES0118,RES,0.091743119266055,0.0041972717733473,30,28,32,981,985
compute_fp16,RES0123,RES,0.1574443810610382,0.022867737948084,64,135,77,1753,1695
compute_fp16,RES0127,RES,0.1611541168191414,0.0251617541337167,68,30,131,1421,1522
compute_fp16,RES0132,RES,0.102803738317757,0.0029850746268656,34,51,58,1391,1398
compute_fp16,RES0134,RES,0.1200459506031016,0.0105263157894736,35,126,48,1741,1663
compute_fp16,RES0143,RES,0.1376623376623376,0.005420054200542,38,48,73,1155,1180
